EGION,TOTAL AMOUNT SPEND,,,,,,,,,,
HEAD OFFICE,53402159.91,,,,,,,,,,
GAUTENG,20546435.70,,,,,,,,,,
WESTEN CAPE,31819147.82,,,,,,,,,,
EASTEN CAPE,10240353.52,,,,,,,,,,
LIMPOPO MPUMALANGA AND NOTHWEST,11095455.88,,,,,,,,,,
FEESTATE AND NOTHEN CAPE EGION,8071331.90,,,,,,,,,,
KWAZULU NATAL,26434006.23,,,,,,,,,,
TOTAL AMOUNT,127103552.83,,,,,,,,,,
HEAD OFFICE,,,,,,,,,,,
ITEM DESCIPTION,SUPPLIE NAME,COMPANY EGISTATION NO,POCUEMENT POCESS FOLLOWED,ODE DATE,UNIT OF MEASUE,UNIT PICE,ODE QUANTITY,TOTAL PICE,,,
Duban,Vital Monite (BP Monitoing Machine),Class Thee Medical Solutions,2017/535986/07,T 2-2016,each,"F-431403 (DB-
014034)",3/27/2020,10,16315.54,163155.40,
Duban,BP Cuffs  (fo vital monito),Class Thee Medical Solutions,2017/535986/07,T 2-2016,each,"F-431403 (DB-
014034)",3/27/2020,10,120.75,1207.50,
Duban,HB Mete,Class Thee Medical Solutions,2017/535986/07,Quotation,each,"F-431408 (DB-
014037)",3/30/2020,10,3103.10,31031.00,
Duban,Ambubag (oval plus silicone esuscicato adult),Class Thee Medical Solutions,2017/535986/07,Quotation,each,"F-431408 (DB-
014037)",3/30/2020,12,1138.50,13662.00,
Duban,Layngeal Mask,Class Thee Medical Solutions,2017/535986/07,Quotation,each,"F-431408 (DB-
014037)",3/30/2020,10,188.35,1883.50,
Duban,Endotacheal Tube (6 61⁄2 7 71⁄2),Class Thee Medical Solutions,2017/535986/07,Quotation,each,"F-431408 (DB-
014037)",3/30/2020,20,98.65,1973.00,
Duban,Flow Mete double flow with ball & tube,Class Thee Medical Solutions,2017/535986/07,Quotation,each,"F-431408 (DB-
014037)",3/30/2020,10,1079.80,10798.00,
Duban,Stethoscope,Selective Decisions,2001/066559/23,T 4-2017,each,"F-431745 (DB-
014011)",3/24/2020,50,27.07,1353.50,
Duban,Stethoscope,Class Thee Medical Solutions,2017/535986/07,Quotation,each,"F-431408 (DB-
014037)",3/30/2020,15,455.00,6825.00,
Duban,Nebulize,Class Thee Medical Solutions,2017/535986/07,T 2-1-2016,each,"F-431750 (DB-
014031)",3/27/2020,10,5184.20,51842.00,
Duban,Ove shoe non woven (single use),Umusa Kami Supplies,2019/443164/07,Quotation,each,"F-431423 (DB-
014013)",4/3/2020,900x100's,0.77,6935.00,
Duban,Head Coves (single use),Umusa Kami Supplies,2019/443164/07,Quotation,each,"F-431423 (DB-
014013)",4/3/2020,900x100's,0.74,6659.00,
Duban,Laingoscope,Unicoe Holdings,2011/000574/07,T 4-2017,each,"F-431746 (DB-
013983)",3/24/2020,10,1576.86,15768.60,
Duban,Flu Vaccine,Kahma Biotech,1997/014365/07,T 285-2019,vial,"F-431733 (DB-
014035)",3/21/2020,3450,39.93,137758.50,
Duban,Full face shield   (Visos),Flawless Entepise,2015/431254/07,Quotation,each,"F-431426 (DB-
014012)",4/8/2020,1000,95.00,95000.00,
Duban,Wate boot (gumboots),BBF Safety Goup,2014/095914/07,T 59-2019,pai,"F-431734 (DB-
014028 & DB-
014029)",3/21/2020,646,152.00,98192.00,
Duban,Bed Hospital Two Section,Hospi-Fun,2009/003345/07,T 24-2016,each,"F-431738 (DB-
014030)",3/22/2020,28,8165.79,228642.12,
Duban,Flow Mete Oxygen Single,East Coast Medical,2011/043248/23,T 2-2016,each,DB-013980,3/22/2020,20,575.74,13514.80,
Duban,Bottle medicine with pump 500ml,Medi-Coe Technologies,2013/198711/07,T 298-2018,each,"F-431747 (DB-
014024)",3/25/2020,1000,7.52,7520.00,
Duban,Sevice : Sanitize all aeas in Duban,Total Pest Management Sevices,2004/027335/23,Quotation,sevice,"F-431730 (DB-
013970)",3/20/2020,"1sevicefo5
consecutivedays",290000.00,290000.00,
Duban,Hand Soap Dettol 200ml,Siyabonga Maketing Solutions,2016/456730/07,Quotation,each,"F-431419 (DB-
014010)",4/1/2020,530,55.00,29150.00,
Duban,"Spaye 16L Plastic Knapsack (to spay vehicles cells
etc.)",Total Pest Management Sevices,2004/027335/23,Quotation,each,"F-431430 (DB-
014036)",4/13/2020,10,1200.00,12000.00,
Duban,Biocide D (sachets fo the spaye's),Total Pest Management Sevices,2004/027335/23,Quotation,sachets,"F-431430 (DB-
014036)",4/13/2020,3000,5.50,16500.00,
Duban,M/S Pest Contol (decontimination),Total Pest Management Sevices,2004/027335/23,Quotation,sevice,DB-014162,6/8/2020,1,24000.00,24000.00,
,Full face shield   (Visos),Unitade 1032,1998/002665/23,Quotation,each,DB-014355,7/27/2020,1000,18.00,18000.00,
,Gown Isollation COVID037,Teata Supplies,2017/469259/07,Quotation,each,DB-014394,7/29/2020,750,57.00,42750.00,
,Coveall Potective Bodysuit Disposable XX-Lage,Pomed Technologies,2014/162486/07,T 32-2019,each,DB-014349,7/20/2020,500,17.35,8675.00,
,Daw Sheets Disposable white egtangula,Pomed Technologies,2014/162486/07,T 32-2019,each,DB-014349,7/20/2020,1000,2.62,2620.00,
,Sleeve Potecto single use am sleeve cove,Medi-Coe Technologies,2013/198711/07,T 32-2019,each,DB-014346,7/20/2020,2000,0.25,500.00,
,Mask Sugical Type 1,Chemical Wold,2019/253242/07,T 32-2019,each,DB-014357,7/29/2020,200,19.26,3852.00,
,,,,,,,,,,,
EMPANGENI,,,,,,,,,,,
EMPANGENI,EMPANGENI MANAGEMENT AEA,,,,,,,,,,
EMPANGENI,,,,,,,,,,,
,Sugical masks,BPK LEGACY PTY LTD,2019/471742/07,NON CONTACT,EACH,AC-404592,6/4/2020,10000,23,230000.00,
,Sugical masks,CHEMICAL WOLD,2019/253242/07,T32-2019,BOX,AC-404567,19-03-2020,200,14.95,2290.00,
Glencoe,N95 masks,THEE MED SOLUTTION,2017/535986/07,NON CONTACT,BOX,AC-404589,2/4/2020,66,2233.88,147436.00,
Glencoe,N95 masks,LIOA MEDICAL SUPPLIES,2011/013434/23,T32-2019,BOX,AC-404566,19-03-2020,700,160.5,112350.00,
,Disposable Gown,BPK LEGACY PTY LTD,2019/471742/09,NON CONTACT,EACH,AC-404594,7/4/2020,200,250,50000.00,
Glencoe,Full face shield (Potective goggles ),BPK LEGACY PTY LTD,2019/471742/09,NON CONTACT,EACH,AC-404594,7/4/2020,100,250,25000.00,
Glencoe,Gloves,Flawless Entepise,2015/143125/07,NON CONTACT,each,AC-404588,4/2/2020,65250,1.54,100875.00,
Glencoe,Non Steile Golves,POMED TECHNOLOGIES,2014/16248/07,T76-2020,BOX,AC-404562,3/19/2020,250,46,15650.00,
Glencoe,Gloves latex disposable lage,EVEGEEN LATEX CC,2002/057771/23,T76-2020,BOX,AC-404563,3/19/2020,400,78,48700.00,
Glencoe,Tempeatue Scanne,Dop Dot PTY,2013/001934/07,NON CONTACT,Each,AC-404595,4/15/2020,30,2300,69000.00,
Glencoe,Alcohol based hand sanitise 5lt,MASETHEMBE TADING,2012/173413/07,NON CONTACT MAAA0140020,5LT,AC-404575,3/24/2020,400,550,220000.00,
Glencoe,Alcohol based hand sanitise 500ml,MASETHEMBE TADING,2012/173413/07,NON CONTACT MAAA0140020,500ML,AC-404575,3/24/2020,150,150,23850.00,
Glencoe,Alcohol based hand sanitise 500ml,BAAS PHAMACEUTICALS,2012/056577/07,T300-2017,500ML,AC-404561,3/19/2020,15000,14.01,210150.00,
Glencoe,Sanitation Sevice to Maphumulo coectional cente,ZULULAND PEST CONTOL,1988/010133/23,NON CONTACT,ONCE OFF SEVICE,AC-404590,1/4/2020,ONCEOFFSEVICE,12995,12995.00,
Glencoe,Sanitation Sevice to Management aea,ZULULAND PEST CONTOL,1988/010133/23,,ONCE OFF SEVICE,AC-404579,24-03-2020,ONCEOFFSEVICE,89585,89585.00,
Glencoe,Sugical scub 500ml,BAAS PHAMACEUTICALS,2012/056577/07,T300-2017,500ML,AC-404561,19-03-2020,15000,21.15,317250.00,
Glencoe,Pape towels,POMED TECHNOLOGIES,2014/16248/07,T14-2019,PKT,AC-404564,3/19/2020,5000,10.5,52500.00,
Glencoe,Spay Bottles/Pessue spaye (5 lites),ZULULAND PEST CONTOL,1988/010133/23,NON CONTACT,EACH,AC-404596,16/4/2020,30,280,8400.00,
Glencoe,Sugical masks,HYCHEM PTY LTD,2012/045088/07,NON CONTACT,EACH,AC-404598,17/4/2020,15000,16.1,241500.00,
Glencoe,Sugical masks,IMPEIAL LOGISTICS SA,1993/003465/07,T. INSTUCTION NO.3 OF 2020,EACH,AC-404597,22/4/2020,20000,12.48,249600.00,
Glencoe,Apon plastics,IMPEIAL LOGISTICS SA,1993/003465/07,T. INSTUCTION NO.3 OF 2020,EACH,AC-404597,22/4/2020,5000,1.7,8500.00,
Glencoe,Eye potection,IMPEIAL LOGISTICS SA,1993/003465/07,T. INSTUCTION NO.3 OF 2020,EACH,AC-404597,22/4/2020,300,149,44700.00,
Kokstad,Viso,IMPEIAL LOGISTICS SA,1993/003465/07,T. INSTUCTION NO.3 OF 2020,EACH,AC-404597,22/4/2020,300,75,22500.00,
Kokstad,Gowns isolation/Sugical gowns,IMPEIAL LOGISTICS SA,1993/003465/07,T. INSTUCTION NO.3 OF 2020,EACH,AC-404597,22/4/2020,3000,87.83,263500.00,
Kokstad,Boot coves,IMPEIAL LOGISTICS SA,1993/003465/07,T. INSTUCTION NO.3 OF 2020,EACH,AC-404597,22/4/2020,1000,1.3,1300.00,
Kokstad,Sanitize and disinfected 25l,IMPEIAL LOGISTICS SA,1993/003465/07,T. INSTUCTION NO.3 OF 2020,EACH,AC-404597,22/4/2020,100,1635,163545.00,
Kokstad,Bionazad bags and body bags,IMPEIAL LOGISTICS SA,1993/003465/07,T. INSTUCTION NO.3 OF 2020,EACH,AC-404597,22/4/2020,1530,7.098,10860.00,
Kokstad,Spay bottles 500ml,IMPEIAL LOGISTICS SA,1993/003465/07,T. INSTUCTION NO.3 OF 2020,EACH,AC-404597,22/4/2020,20,24.3,486.00,
Kokstad,Sugical gloves size 7.588.59,IMPEIAL LOGISTICS SA,1993/003465/07,T. INSTUCTION NO.3 OF 2020,EACH,AC-404597,22/4/2020,6000,2.76,16560.00,
Kokstad,Examation gloves MLXL,IMPEIAL LOGISTICS SA,1993/003465/07,T. INSTUCTION NO.3 OF 2020,EACH,AC-404597,22/4/2020,15000,2.78,41700.00,
Kokstad,Ovealls size MLXL and XXL,IMPEIAL LOGISTICS SA,1993/003465/07,T. INSTUCTION NO.3 OF 2020,EACH,AC-404597,22/4/2020,800,300.11,240088.00,
Kokstad,Secued hands fee dispense sanitise,CHEMA SALES AND MAK,2007/242717/23,NON CONTACT,EACH,AC-404753,15/5/2020,65,2000,130000.00,
Kokstad,Secued hands fee dipense hand wash soap,CHEMA SALES AND MAK,2007/242717/23,NON CONTACT,EACH,AC-404753,15/5/2020,42,2000,84000.00,
Kokstad,Batteies,CHEMA SALES AND MAK,2007/242717/23,NON CONTACT,EACH,AC-404753,15/5/2020,300,15,4500.00,
Empangeni,Sanitise hands efill,CHEMA SALES AND MAK,2007/242717/23,NON CONTACT,EACH,AC-404753,15/5/2020,400,60,24000.00,
Empangeni,Hand soap efill,CHEMA SALES AND MAK,2007/242717/23,NON CONTACT,EACH,AC-404753,15/5/2020,300,20,6000.00,
Empangeni,Fist Aid Kit,M FIST AID,1990/007637/07,T24-13-001,EACH,AC-404755,21/5/2020,19,471.55,8959.45,
Empangeni,Tansfe Boad,DELTA SUGICAL PTY LTD,2008/023602/07,T24-09-001,EACH,AC-404759,22/5/2020,18,5460.65,98291.70,
EMPANGENI,Pessue elief Matesses,"AJO HUNTLEIGH SOUTH AFICA
PTY LTD",2001/016670/07,T24-02-23,EACH,AC-404758,22/5/2020,5,6353.17,31765.85,
Empangeni,Stadio Mete,DELTA SUGICAL SA,2008/023602/07,T24-08-009,EACH,AC-404757,21/5/2020,19,1279.23,24305.37,
Empangeni,Matess Cove Bed,"HOSPITAL EQUIPMENT
MANUFACTUES PTY LTD",2000/000651/07,T24-02-15,EACH,AC-404756,21/5/2020,103,563.12,58001.36,
Empangeni,Emegency Tolley,SIYAKHANDA MEDICAL SEVICES,2001/001606/07,T24-12-001,EACH,AC-404765,22/5/2020,9,20431.22,183880.98,
Empangeni,Ove bed table,HOSPI-FUN PTY LTD,2009/003345/07,T24-07-004,EACH,AC-404764,22/5/2020,103,2205.17,227132.51,
Empangeni,Hospital bed,HOSPI-FUN PTY LTD,2009/003345/07,T24-02-005,EACH,AC-404764,22/5/2020,103,14346.49,1477688.47,
Empangeni,Desing tolley,NEW HOIZON METALS CC,2000/007991/23,T24-12-009,EACH,AC-404763,22/5/2020,14,1183.57,16569.98,
Empangeni,Sceen mobile 4 fold,"HOSPITAL EQUIP MANUFACTUES
PTY LTD",2000/000651/07,T24-11-009,EACH,AC-404762,22/5/2020,20,2772.24,55444.80,
Empangeni,Decontamination sevices Qalakabusha,ZULULAND PEST CONTOL,1988/010133/23,NON CONTACT,ONCE OFF SEVICE,AC-404780,12/6/2020,ONCEOFFSEVICE,39905,39905.00,
Empangeni,"Decontamination sevices Adm &Qalakabusha holding
cells",BIDVEST STEINE,2000/011155/07,NON-CONTACT,ONCE OFF SEVICE,AC-404787,23/6/2020,ONCEOFFSEVICE,22356,22356.00,
Empangeni,Decontamination sevices at 16A unit Qalakabusha,BIDVEST STEINE,2000/011155/07,NO-CONTACT,ONCE OFF SEVICE,AC-404801,2/7/2020,ONCEOFFSEVICE,22356,22356.00,
Empangeni,Biocide D suface sanitize,CHEMA SALES AND MAK,2007/242717/23,NON-CONTACT,L,AC-404802,2/7/2020,200,320,64000.00,
Empangeni,Hand sanitizing liquid,CHEMA SALES AND MAK,2007/242717/23,NON-CONTACT,L,AC-404802,2/7/2020,63,950,59850.00,
Empangeni,Decontamination sevices Qalakabusha & Meduim,BIDVEST STEINE,2000/011155/07,NON CONTACT,ONCE OFF SEVICE,AC-404791,24/6/2020,ONCEOFFSEVICE,18274.5,18274.50,
EMPANGENI,Goggles,ZAKHAYA FITNESS,2019/090382/07,NON-CONTACT,EACH,AC-404808,7/7/2020,1000,45,45000.00,
EMPANGENI,Face shield,ZAKHAYA FITNESS,2019/090382/07,NON-CONTACT,EACH,AC-404808,7/7/2020,1300,25,32500.00,
EMPANGENI,"Decontamination sevices Empangeni Community
Coections",ZULULAND PEST CONTOL,1988/010133/23,NON-CONTACT,ONCE OFF SEVICE,AC-404804,4/7/2020,ONCEOFFSEVICE,1092.5,1092.50,
EMPANGENI,N95 masks,PHUNGULA 16 TADING,2016/321200/07,NON-CONTACT,EACH,AC-404810,8/7/2020,3000,17.48,52440.00,
EMPANGENI,Disposable gown,ZAKHAYA FITNESS,2019/090382/07,NON-CONTACT,EACH,AC-404809,8/7/2020,2200,56,123200.00,
EMPANGENI,Covealls lage and X-lage,ZAKHAYA FITNESS,2019/090382/07,NON-CONTACT,EACH,AC-404814,8/7/2020,2000,60,120000.00,
EMPANGENI,Sugical mask,NYALA PAK INN CC,2009/015426/23,NON-CONTACT,EACH,AC-404811,8/7/2020,13000,8.9,115700.00,
EMPANGENI,Body bags,CHEMA SALES AND MAK,2007/242717/23,NON-CONTACT,EACH,AC-404813,8/7/2020,2000,150,150000.00,
EMPANGENI,Stait Apons with bib,CHEMA SALES AND MAK,2007/242717/23,NON-CONTACT,EACH,AC-404813,8/7/2020,20000,1,20000.00,
EMPANGENI,Heavy duty gloves,BPK LEGACY PTY LTD,2019/471742/07,NON-CONTACT,EACH,AC-404815,8/7/2020,3000,2,6000.00,
EMPANGENI,Face cloth mask 3 layes,OB SKWAED,2016/315042/07,NON CONTACT,EACH,AC-404766,22/5/2020,1500,19,28500.00,
Kokstad,,,,,,,,,,,
Kokstad,GLENCOE MANAGEMENT AEA,,,,,,,,,,
Kokstad,Sugical masks,Chemical Wold CC,2019/253242/07,Tansvesal Contact,BOXES,G-557822,2020:03:20,100,14.95,1495.00,
Kokstad,Sugical masks,Medi-Coe Technologies,2013/198711/07,Tansvesal Contact,BOXES,G-557 831,2020:03:23,80,345.00,27600.00,
Kokstad,Sugical masks,MIP ISMAILS TADING,2014/195150/07,Deviation,EACH,G-709248,2020:04:20,1400,15.00,21000.00,
Kokstad,Sugical masks,Kwathuthuko Tading Entepise,2015/219579/07,Deviation,EACH,G-557 848,2020:04:21,10000,15.00,150000.00,
Kokstad,Disposable apons,Cental Medical,1995/003785/07,Tansvesal Contact,EACH,G-557 821,2020:03:20,6000,0.32,1920.00,
Kokstad,,Medi-Coe Technologies,2013/198711/07,Tansvesal Contact,Packet,G-557 831,2020:03:23,50,45.00,2250.00,
Kokstad,Gloves latex disposable lage,MZ Tading,2017/526848/07,Deviation,EACH,G-557 827,2020:03:20,4000,350pe50's,28000.00,
Kokstad,Alcohol based hand sanitise,FB BEE ENTEPISE,2018/444951/07,Deviation,LITE,G-557 828,2020:03:20,300,2400pe25L,28800.00,
Kokstad,,JH Chemicals,2015/310741/07,Deviation,LITE,G-557 833,2020:03:26,700,1035pe25L,28980.00,
Kokstad,,JH Chemicals,2015/310741/07,Deviation,LITE,G-0709 242,2020:04:06,500,1495pe25L,29900.00,
Kokstad,ubbe boots (Gumboots),BBF Safety Goup,2014/095914/07,Tansvesal Contact,PAI,G-557826,2020:03:20,182,164.35,29911.70,
Kokstad,Gloves examination Type 1 - Lage,Pomed Technologies,2014/162486/07,Tansvesal Contact,BOX,G557 823,2020:03:20,400,46.00,18400.00,
Kokstad,Mask Face -Aseptic Dust/Mist espiato,Safamex,CANCELLED,Tansvesal Contact,BOX,G-557 819,2020:03:20,500,119.73,59865.00,
Kokstad,GLOVES Steile Type 2 - Lage,Evegeen Latex,CANCELLED,Tansvesal Contact,BOX,G-557 824,2020:03:20,50,92.00,4600.00,
Kokstad,DETTOL,MZ Tading,2017/526848/07,Deviation,LITE,G-557 829,2020:03:20,500,85.00pe2L,21250.00,
Kokstad,Potex anti bacteial,MZ Tading,2017/526848/07,Deviation,each,G-557 830,2021:03:20,200,12.50,2500.00,
Kokstad,"Disinfecting Coectional Cente's and Community
Coections office's",Pofessional Pest Contol,2007/181557/23,Deviation,each,G-557 830,2020:03:23,1,29900.00,29900.00,
Kokstad,Wall Mounted Soap dispenses,Bidvest Steine Newcastle,,Deviation,each,G-709241,2020:04:02,30,559.13,16773.90,
Kokstad,PVC Face viso,Hychem (Pty) Ltd,2012/045088/07,Deviation,Each,G-709245,2020.04.15,2000,12.93,25875.00,
Kokstad,PVC Face viso Black Head Band,Hychem (Pty) Ltd,2012/045088/07,Deviation,Each,GN-013311,2020.07.06,500,60.00,29997.75,
Kokstad,Cap Cove,Impeial Body Woks,2002/004067/23,Deviation,EACH,GN-013385,2020.07.09,100,110.00,11000.00,
Kokstad,Sleeve Potections,Impeial Body Woks,2002/004067/23,Deviation,EACH,GN-013385,2020.07.09,100,110.00,11000.00,
Kokstad,Coveall Bodysuits,Impeial Body Woks,2002/004067/23,Deviation,EACH,GN-013385,2020.07.09,1000,100.00,100000.00,
Kokstad,Face Shield Pemium Tough Viso,MIP ISMAILS TADING,2014/195150/07,Deviation,EACH,GN-013386,2020.07.09,100,200.00,20000.00,
Kokstad,Gown Sugical,MIP ISMAILS TADING,2014/195150/07,Deviation,EACH,GN-013386,2020.07.09,1000,90.00,90000.00,
Kokstad,Shoe Coves,Kenli Tading and Pojects,2014/106775/07,Deviation,EACH,GN-013387,2020.07.09,100,145.00,14500.00,
Kokstad,Biocide-Detegent,inspect-a-Pest,2007/009937/23,Deviation,LITE,GN-013305,2020.06.08,500,39.10,19550.00,
Kokstad,,Hychem (Pty) Ltd,2012/045088/07,Deviation,LITE,AC-085666,2020.07.09,2500,17.25,43125.00,
Kokstad,eceive Lage/Medium,Tigijimi Tading and Pojects,2017/232679/07,Deviation,EACH,AC-085651,2020.05.22,16,348.82,5581.12,
Kokstad,Needles Holde Long,Tigijimi Tading and Pojects,2017/232679/07,Deviation,EACH,AC-085651,2020.05.22,16,163.00,2608.00,
Kokstad,Discecting Foceps,Tigijimi Tading and Pojects,2017/232679/07,Deviation,EACH,AC-085651,2020.05.22,16,250.35,4005.60,
Kokstad,Suction Machine,Tigijimi Tading and Pojects,2017/232679/07,Deviation,EACH,AC-085652,2020.05.22,2,4961.30,9922.60,
Kokstad,Steches,Tigijimi Tading and Pojects,2017/232679/07,Deviation,EACH,AC-085652,2020.05.22,8,1404.50,11236.00,
Kokstad,Hand Sanitize,BAS PHAMACEUTICALS INDUST,E2S012/056577/07,Tansvesal Contact,eACH,GN-013244,2020.03.19,2000,15.79,31580.00,
Kokstad,Sanitize Detegent Bio-Cide,Hychem (Pty) Ltd,2012/045088/07,Deviation,LITE,GN-013425,2020.07.17,2500,17.25,43125.00,
Kokstad,Decontamination of Estcout oom 28,Pofessional Pest Contol,2007/181557/23,Deviation,EACH,GN-013441,2020.07.28,1,1500.00,1500.00,
Kokstad,Decontamination of NK eception Office,Pofessional Pest Contol,2007/181557/23,Deviation,EACH,GN-013441,2020.07.28,1,1500.00,1500.00,
Kokstad,Decontamination of NK eception Office,Pofessional Pest Contol,2007/181557/23,Deviation,EACH,GN-013441,2020.07.28,1,1500.00,1500.00,
Kokstad,"Decontamination of Glencoe School/eception/Dundee
Office",Pofessional Pest Contol,2007/181557/23,Deviation,EACH,GN-013441,2020.07.28,1,7150.00,7150.00,
Kokstad,Acu-Check Glucomete kit,Sanibonani Holdings,2004/000822/07,Deviation,EACH,AC-085653,2020.05.22,16,390.00,6240.00,
Kokstad,Cuff and Bladde Adult,Sanibonani Holdings,2004/000822/07,Deviation,EACH,AC-085653,2020.05.22,16,43.45,695.20,
Kokstad,,,,,,,,,,,
Kokstad,KOKSTAD MANAGEMENT AEA,,,,,,,,,,
Kokstad,Sugical masks disposable,CLASS THEE MEDICAL SOLUTION,2017/535986/07,QUOTATIONS,PK,AI-663624,4/1/2020,6650,63.83,182666.00,
Kokstad,Scub Suits,"Logan Medical and Sugical (PTY)
LTD",2012/056508/07,T2,EACH,AH-100921,3/19/2020,200,17.33,3466.00,
Kokstad,Sugical Gown,POMED TECHNOLOGIES (PTY)LTD,2014/162486/07,T32,EACH,AH-100857,3/19/2020,200,23.83,4766.00,
Kokstad,Vital Sign Monito CMS5100,"CLASS THEE MEDICAL SOLUTIONS
(PTY)LTD",2017/535986/07,T2,EACH,AI-663607,3/25/2020,2,9209.20,18418.40,
Kokstad,Vital Sign Monito CMS5100,"CLASS THEE MEDICAL SOLUTIONS
(PTY)LTD",2017/535986/07,T2,EACH,AI-663603,3/25/2020,4,9272.75,37091.00,
Kokstad,Vital Sign Monito CMS5100,"CLASS THEE MEDICAL SOLUTIONS
(PTY)LTD",2017/535986/07,T2,EACH,AI-663607,3/25/2020,6,9209.20,55255.20,
Kokstad,Pape towels,POMED TECHNOLOGIES,2014/162486/07,T32,OLL,AI-663602,3/18/2020,400,55.75,22300.00,
Kokstad,Sleeve Potectos,Medi-Coe Technologies,,T32,EACH,AH-100867,3/19/2020,4000,0.22,880.00,
Kokstad,Bleach,QUAL CHEM,2006/049237/23,QUOTATIONS,LITE,AI-663620,3/30/2020,2500,220.00,22000.00,
Kokstad,Disposable Gown,POMED TECHNOLOGIES,2014/162486/07,T32,EACH,AH-100857,3/19/2020,4000,23.83,93250.00,
Kokstad,Full face shield (Potective goggles ),COVENANT TADING,2016/521035/07,QUOTATIONS,EACH,AI-663609,3/25/2020,100,32.00,3200.00,
Kokstad,Disposable apons,CENTAL MEDICAL (PTY)LTD,1995/003785/07,T32,EACH,AH-101110,3/19/2020,3000,0.32,960.00,
Kokstad,Disposable scub suit,POMED TECHNOLOGIES,2014/162486/07,T32,EACH,AH-100901,3/19/2020,100,13.57,1357.00,
Kokstad,Tempeatue Scanne,CLICKS ETAIL,,QUOTATIONS,EACH,Petty Cash,3/19/2020,10,2588.34,25882.40,
Kokstad,Alcohol based hand sanitise,BAS PHAMACEUTICALS,2012/056577/07,T300,EACH,AC-404151,3/19/2020,2000,15.92,32820.08,
Kokstad,Biocide D / Bleach,QUAL CHEM,2006/049237/23,QUOTATIONS,LITE,AI-663602,3/20/2020,1500,220.00,13200.00,
Kokstad,Pape towels,COVENANT TADING,2016/521035/07,QUOTATIONS,OLL,AI-663615,3/25/2020,200,28.75,5750.00,
Kokstad,Hand Sanitise (500 ml),Flawless Entepise,2015/431254/07,QUOTATIONS,500ml,AI-663619,3/29/2020,Boxof15,2000.00,30000.00,
Kokstad,Blea 25 lt,QUAL CHEM,2006/049237/23,QUOTATIONS,LITE,AI-663602,3/20/2020,1500,191.30,13200.00,
Kokstad,High eisk Gloves,Medi-Coe Technologies,2013/198711/07,QUOTATIONS,EACH,AI-663612,3/24/2020,10000,142.00,28400.00,
Kokstad,Sugical Gown Medium,POMED TECHNOLOGIES (PTY)LTD,2014/162486/07,T32,EACH,AH-100857,3/19/2020,100,23.14,2314.00,
Kokstad,Spill kits biological,CLASS THEE MEDICAL SOLUTION,2017/535986/07,QUOTATIONS,EACH,AI-663631,4/2/2020,20,1424.00,28480.00,
KOKSTAD,Bush Sugical Steile (single use),"Logan Medical and Sugical (PTY)
LTD",2012/056508/07,T2,EACH,AC-450145,3/19/2020,700,3.01,2107.00,
KOKSTAD,Ove shoe potecto,ZENASA SEVICES (PTY) LTD,2014/199329/07,QUOTATIONS,PAI,AI-663626,4/1/2020,450,65.00,29250.00,
KOKSTAD,Sui20p-Sugical masks Disposable,CLASS THEE MEDICAL SOLUTIONS,2017/535986/07,,,AI-663624,,2000,27.51,55016.00,
KOKSTAD,Hand sanitize 500ml (Box of 20),Flawless Entepise,2015/431254/07,QUOTATIONS,EACH,AI-663619,3/29/2020,15,2000.00,30000.00,
KOKSTAD,Biocide D / Bleach,QUAL CHEM,2006/049237/23,QUOTATIONS,LITE,AI-663620,3/30/2020,2500,220.00,22000.00,
KOKSTAD,Cleaning Gloves,New Heights Foods,2019/467590/07,QUOTATIONS,PAI,AI-663635,4/1/2020,2000,13.50,27000.00,
KOKSTAD,Tmp120p- Lepu non-contact Themomete,CLASS THEE MEDICAL SOLUTION,2017/535986/07,QUOTATIONS,EACH,AI-663632,4/2/2020,15,1516.10,22741.50,
KOKSTAD,GLVS784-Sugical Gloves Non Steile,CLASS THEE MEDICAL SOLUTION,2017/535986/07,QUOTATIONS,PAI,AI-663638,4/2/2020,200,299.81,59962.00,
KOKSTAD,GLVS784-Sugical Gloves Non Steile Nitile Powde Fee,CLASS THEE MEDICAL SOLUTION,2017/535986/07,QUOTATIONS,PAI,AI-663638,4/2/2020,200,318.78,63756.00,
KOKSTAD,JFE SECUITY GOUP,JEF SECUITY GOUP,,,,AI-663642,4/3/2020,1,243377.77,243377.77,
KOKSTAD,Disposable dawsheets,Pomed Technologies,2014/162486/07,T32,each,AH-101091,3/19/2020,300,2.18,654.03,
KOKSTAD,Betable BP Machine,Danvan Medical Sevices,1996/027593/23,Ode eceived,EACH,AI-663644,4/3/2020,20,724.50,14490.00,
KOKSTAD,Blood Glucose Acc-check machine,Danvan Medical Sevices,1996/027593/23,Ode eceived,EACH,AI-663644,4/3/2020,20,454.25,9085.00,
KOKSTAD,Hemoglobin Machine,Danvan Medical Sevices,1996/027593/23,Ode eceived,EACH,AI-663644,4/3/2020,5,1265.00,6325.00,
KOKSTAD,Hand Sanitise with 70% alcohol (500ml),Flawless Entepise,2015/431254/07,QUOTATIONS,EACH,AI-663645,4/3/2020,1000,100.00,100000.00,
Ncome,Gumboots (Wayne gumboot),Dual Dynamics Solutions (Pty) Ltd,2019/005337/07,QUOTATIONS,PAI,AI-663647,4/3/2020,50,199.99,9999.50,
