implementation_location_province,buyer_name,INSTITUTION,award_date,PRODUCT,ITEM,item_description,UNIT OF MEASURE,cost_per_unit_zar,QUALITY OF UNITS,order_amount_zar,supplier_name
KwaZulu-Natal,KwaZulu-Natal Office of the Premier,Office of the Premier,2020-04-22,Catering,Catering Departmental,Catering for command team,unit,223.84,160,35815.00,Occassion Shiner Catering and Decor
KwaZulu-Natal,KwaZulu-Natal Office of the Premier,Office of the Premier,2020-04-30,Catering,Catering Departmental,Catering for command team,unit,260.84,80,20867.50,Jailbreak Caterers
KwaZulu-Natal,KwaZulu-Natal Office of the Premier,Office of the Premier,2020-03-26,Advertisements,Advert : Marketing,Marketing,unit,145875.00,1,145875.00,Open Season Multimedia
KwaZulu-Natal,KwaZulu-Natal Office of the Premier,Office of the Premier,2020-04-14,Advertisements,Advert : Marketing,Marketing,unit,228525.57,1,228525.57,lzibuko
KwaZulu-Natal,KwaZulu-Natal Office of the Premier,Office of the Premier,2020-05-07,Catering,Catering Command Centre,Catering,Number of attendees,216.02,80,17281.25,Occassion Shiner Catering and Decor
KwaZulu-Natal,KwaZulu-Natal Office of the Premier,Office of the Premier,2020-05-08,Masks,Masks (Cloth),Clothing face mask,Unit,22.58,3000,67750.00,Bruno's Custom Clothing
KwaZulu-Natal,KwaZulu-Natal Office of the Premier,Office of the Premier,2020-05-08,Themometers,Thermometers: Digital,Digital Body Thermometer scan,Unit,2300.00,15,34500.00,Logan Medical & Surgical (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Office of the Premier,Office of the Premier,2020-05-12,Catering,Catering Command Centre,Catering,Number of attendees,249.69,80,19975.00,Sweety NU 4U
KwaZulu-Natal,KwaZulu-Natal Office of the Premier,Office of the Premier,2020-05-13,Sanitizers,Sanitizer,Sanitizers,Unit,78.40,1000,78400.00,Unitrade
KwaZulu-Natal,KwaZulu-Natal Office of the Premier,Office of the Premier,2020-05-13,Catering,Catering Departmental,Catering,Number of attendees,275.06,160,44010.00,Occassion Shiner Catering and Decor
KwaZulu-Natal,KwaZulu-Natal Office of the Premier,Office of the Premier,2020-05-19,Catering,Catering Command Centre,Catering for command team,Number of attendees,273.75,80,21900.00,Jailbreak Caterers
KwaZulu-Natal,KwaZulu-Natal Office of the Premier,Office of the Premier,2020-05-20,Catering,Catering Departmental,Premier's meeting with Religious sector,Number of attendees,92.00,35,3220.00,Occassion Shiner Catering and Decor
KwaZulu-Natal,KwaZulu-Natal Office of the Premier,Office of the Premier,2020-05-26,Catering,Catering Command Centre,Catering for command team,Number of attendees,185.45,100,18545.00,Jailbreak Caterers
KwaZulu-Natal,KwaZulu-Natal Office of the Premier,Office of the Premier,2020-06-04,PPE,Visor/ Face-Shield,Face Shield,Each,43.13,200,8625.00,Bidvest Waltons - Pietermaritzburg
KwaZulu-Natal,KwaZulu-Natal Office of the Premier,Office of the Premier,2020-06-15,PPE,Personnel Protective Equipment,Desk screens,Dimensions,632.50,200,126500.00,Alpha Office Fuminture
KwaZulu-Natal,KwaZulu-Natal Office of the Premier,Office of the Premier,2020-06-15,PPE,Personnel Protective Equipment,Desk screens,Dimensions,747.50,400,299000.00,Alpha Office Fuminture
KwaZulu-Natal,KwaZulu-Natal Office of the Premier,Office of the Premier,2020-06-17,Other,Provide Details,Transportation of bottled water donated to fight COVID-19,1 Pallet,1301.01,99,128799.99,Lovemore Bros Transport
KwaZulu-Natal,KwaZulu-Natal Office of the Premier,Office of the Premier,2020-06-23,Catering,Catering Command Centre,Catering for command team,number of attendees,192.63,100,19262.50,Occassion Shiner Catering and Decor
KwaZulu-Natal,KwaZulu-Natal Office of the Premier,Office of the Premier,2020-06-25,Catering,Catering Command Centre,Catering for Command team,Number of attendees,221.50,100,22150.00,Jailbreak Caterers
KwaZulu-Natal,KwaZulu-Natal Office of the Premier,Office of the Premier,2020-06-30,Catering,Catering Command Centre,Catering for Command team,Number of attendees,188.50,100,18850.00,Occassion Shiner Catering and Decor
KwaZulu-Natal,KwaZulu-Natal Office of the Premier,Office of the Premier,2020-07-07,Catering,Catering Command Centre,Catering for Command team,Number of attendees,236.83,80,18946.24,Occassion Shiner Catering and Decor
KwaZulu-Natal,KwaZulu-Natal Office of the Premier,Office of the Premier,2020-07-16,Sanitizers,Sanitizer,"Decanting, rebottling and delivery of sanitizers",ml,19.00,25000,475000.00,Euphoric Technologies
KwaZulu-Natal,KwaZulu-Natal Provincial Treasury,Provincial Treasury,2020-03-26,Sanitizers,Sanitizer,Sanitizer 2*25 Litre,251,3450.00,2,6900.00,Logan Medical & Surgical (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Provincial Treasury,Provincial Treasury,2020-03-26,Sanitizers,Sanitizer,Medical Hand Sanitizer 30*500ML,500ml,103.50,30,3105.00,Allenco Medical & Dental supplies
KwaZulu-Natal,KwaZulu-Natal Provincial Treasury,Provincial Treasury,2020-04-21,Gloves,Gloves,Latex Gloves 50 Boxes of 100 Units,Box of 100,49.86,50,2493.00,Evergreen Latex cc
KwaZulu-Natal,KwaZulu-Natal Provincial Treasury,Provincial Treasury,2020-04-21,Masks,Masks (Cloth),Face Mask 12 Boxes of 50 Units,Box of SO,516.24,12,8194.88,Unitrade
KwaZulu-Natal,KwaZulu-Natal Provincial Treasury,Provincial Treasury,2020-05-06,Sanitizers,Sanitizer,Sanitizer4*25 Litre,25L,13800.00,1,13800.00,Logan Medical & Surgical (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Provincial Treasury,Provincial Treasury,2020-05-06,Themometers,Thermometers: Digital,8 Thermometers,8,2527.12,8,20216.96,Multisurge
KwaZulu-Natal,KwaZulu-Natal Provincial Treasury,Provincial Treasury,2020-05-08,Masks,Masks (Cloth),3 Layer cloth Mask,Each,25.00,1220,30500.00,Ubucubu Home Industries
KwaZulu-Natal,KwaZulu-Natal Provincial Treasury,Provincial Treasury,2020-05-18,PPE,Visor/ Face-Shield,Acrylic Plastic Safety Shield Screen,Each,6200.00,1,6200.00,Bekezela Marketing
KwaZulu-Natal,KwaZulu-Natal Provincial Treasury,Provincial Treasury,2020-05-18,PPE,Visor/ Face-Shield,acrylic Safety protective Barrierrs with solid,Each,4375.00,4,17500.00,Bekezela Marketing
KwaZulu-Natal,KwaZulu-Natal Provincial Treasury,Provincial Treasury,2020-05-26,PPE,Visor/ Face-Shield,acrylic Safety protective Barrierrs with solid,Each,1932.00,18,34776.00,Howards Production
KwaZulu-Natal,KwaZulu-Natal Provincial Treasury,Provincial Treasury,2020-05-26,Sanitizers,Wet Wipes - Hand,Wet Wipes for use in the Photocopier Machines,400pack,280.00,100,28000.00,Zakhanya Fitness
KwaZulu-Natal,KwaZulu-Natal Provincial Treasury,Provincial Treasury,2020-03-17,Cleaning,Cleaning Services,"500ml Sanitizer with stand & refill weekly until july and sanitize door handles and main entrance	4 times a day for 4 months",Each,5512.50,34,187425.00,Rainbow Moon Service
KwaZulu-Natal,KwaZulu-Natal Provincial Treasury,Provincial Treasury,2020-05-27,Cleaning,Decontamination Services,Variation is respect of deep cleaning & daily office disinfecting (Deep cleaning for three buildings),Each,23034.88,3,69104.64,Rainbow Moon Service
KwaZulu-Natal,KwaZulu-Natal Provincial Treasury,Provincial Treasury,2020-05-27,PPE,Protective Clothing,"Visor/Facial masks, durable heavy duty, face cloth masks,durable proctective suit , safety boots, overshoes",Each,27144.00,7,7981.00,Bonisa Mobile Projects
KwaZulu-Natal,KwaZulu-Natal Provincial Treasury,Provincial Treasury,2020-06-15,Dispensers,Sanitizer Refill Bottles,100ml Sanitizer spray bottles,Each,19.95,400,,Howards Production
KwaZulu-Natal,KwaZulu-Natal Provincial Treasury,Provincial Treasury,2020-06-26,PPE,Personnel Protective Equipment,Personal Protective Clothing,Each,34775.00,1,34775.00,T&T Agencies
KwaZulu-Natal,KwaZulu-Natal Provincial Treasury,Provincial Treasury,2020-06-24,Security,Guards,Additional securities,Each,47942.58,5,239712.90,East Coast Patrol CC
KwaZulu-Natal,KwaZulu-Natal Department of Public Works,Public Works,2020-03-19,Sanitizers,Sanitizer,Suppy and deliver 500ML BatiCide Hand Disinfectant 0.5% Chlorhexidine Gluconatei in 70% Alcohol,500ml,149.50,200,29900.00,R M A Consulting
KwaZulu-Natal,KwaZulu-Natal Department of Public Works,Public Works,2020-03-24,Sanitizers,Sanitizer,ZNQ359/19/20: Appointment of a suitable servcice provider for the supply and delivery of 1250 Hand Sanitizers for the Department,500ml,92.00,1250,115000.00,Logan Medical & Surgical (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Public Works,Public Works,2020-06-28,Cleaning,Fogging,ZNT01/20/21: Appointment of the service provider to provide deep cleaning by means of fogging to disinfact all 6 KZN public works offices under Ethekwini Region Office and 92 Vehicles in preparation for the return of employees to work,"6 Offices (10 390 square metres) &
92 State Vehicles",18.78,10390,195095.90,One Source Global
KwaZulu-Natal,KwaZulu-Natal Department of Public Works,Public Works,2020-06-28,Cleaning,Fogging,ZNT03/20/21: Appointment of the service provider to provide deep deaanin by means of fogging to disinfact all 7 KZN public works offices under North Coast Region Office and 127 Vehicles in preparation for the return of employees to work,"7 Offices (57 787 square metres) &
127 State Vehiclef",9.51,57787,549583.26,V-Tom Trading
KwaZulu-Natal,KwaZulu-Natal Department of Public Works,Public Works,2020-06-28,Cleaning,Fogging,ZNT02/20/21: Appointment of the service provider to provide deep cleaning by means of fogging to disinfact all 5 KZN public works offices under Mildands Region Office and 66 Vehicles in preparation for the return of employees to work,"5 Offices ( 22 222 square metres) &
66 State Vehicles",20.18,22222,448495.51,Ngcebo Agricultural and
KwaZulu-Natal,KwaZulu-Natal Department of Public Works,Public Works,2020-06-28,Cleaning,Fogging,ZNT04/20/21: Appointment of the service provider to provide deep cleaning by means of fogging to disinfact all 5 KZN public works offices under Head Office and Southam Region Office and 74 Vehicle in preparation for the return of employees to work,"5 Offices (32 626 square metres) &
74 State Vehicles",19.39,32626,632500.00,R M A Consulting
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-24,Masks,Masks (n95),Mask- N95,Pack of50,95.45,83,7922.35,Ngezolusha Suppliers and Trading t/a Nduru Services
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-25,Masks,Masks (n95),Mask- N95,Pack of20,85.00,100,5500.00,King K Trading  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-24,Masks,Mask (Surgical),Mask - Surgical,Pack of20,22.80,208,4742.40,Ngezolusha Suppliers and Trading t/a Nduru Services
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-20,Masks,Mask (Surgical),Mask - Surgical,Pack of 100,25.88,14700,380362.50,Umnyeovou Trading  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-20,Masks,Mask (Surgical),Mask - Surgical,Pack of 10,195.00,16000,3120000.00,Info Tech Evolution  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-25,Masks,Mask (Surgical),Mask - Surgical,Pack of50,50.00,1000,50000.00,King K Trading  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-19,Masks,Mask (Surgical),Mask - Surgical,Pack of80,19.50,10000,195000.00,Youth Development 12 (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-20,Masks,Mask (Surgical),Mask - Surgical,Box of50,22.50,10000,225000.00,Umnyeovou Trading  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-20,Masks,Mask (Surgical),Mask - Surgical,Box of50,34.50,10000,345000.00,Mabugana Group t/a Aqua Amazing  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-04-01,Masks,Mask (Surgical),Mask - Surgical,Pack of50,25.00,5000,125000.00,Siphiwenonkosi Trading  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-04-01,Masks,Mask (FFP2),Mask - Surgical,Pack of50,200.00,200,40000.00,Ntethe Trading {Ply) Ltd  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-26,Masks,Mask (Surgical),Mask - Surgical,Single,60.00,3000,180000.00,Mpumelelo Dlaba (Pty) Ltd  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-26,Masks,Mask (Surgical),Mask - Surgical,Single,51.75,8500,439875.00,lbusaphi Trading {Ply) Ltd 
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-26,Masks,Mask (Surgical),Mask - Surgical,Single,55.00,4500,247500.00,lnqikithi Trading Enterprise  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-24,Gloves,Gloves: Examination (Latex),"""Gloves - Surgical & Examination - Natural Rubber Latex""",Pack of 100,157.00,50,7850.00,Ngezolusha Suppliers and Trading t/a Nduru Services
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-20,Gloves,Gloves: Examination (Latex),"""Gloves - Surgical & Examination - Natural Rubber Latex""",Pack of 100,180.55,3000,541650.00,Umnyeovou Trading  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-20,Gloves,Gloves: Examination (Latex),"""Gloves - Surgical & Examination - Natural Rubber Latex""",Pack of50,120.00,3000,360000.00,Info Tech Evolution  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-19,Gloves,Gloves: Examination (Latex),"""Gloves - Surgical & Examination - Natural Rubber Latex""",Box of 100,185.00,268,49580.00,Youth Development 12 (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-20,Gloves,Gloves: Examination (Latex),"""Gloves - Surgical & Examination - Natural Rubber Latex""",Box of 100,145.80,268,39074.40,Umnyeovou Trading  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-20,Gloves,Gloves: Examination (Latex),"""Gloves - Surgical & Examination - Natural Rubber Latex""",Box of 100,212.75,268,57017.00,Mabugana Group t/a Aqua Amazing  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-25,Gloves,Gloves: Examination (Latex),"""Gloves - Surgical & Examination - Natural Rubber Latex""",Box of 100,300.00,166,49800.00,King K Trading  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-04-01,Gloves,Gloves: Examination (Latex),"""Gloves - Surgical & Examination - Natural Rubber Latex""",Box,200.00,300,60000.00,Siphiwenonkosi Trading  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-04-01,Gloves,Gloves: Examination (Latex),"""Gloves - Surgical & Examination - Natural Rubber Latex""",Pack of 100,250.00,200,50000.00,Ntethe Trading (Ply) Ltd  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-26,Gloves,Gloves: Examination (Latex),"""Gloves - Surgical & Examination - Natural Rubber Latex""",Pack of 100,110.00,110,12100.00,Mpumelelo Dlaba {Ply) Ltd 
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-26,Gloves,Gloves: Examination (Latex),"""Gloves - Surgical & Examination - Natural Rubber Latex""",Pack of 100,402.50,3600,1449000.00,lbusaphi Trading (Pty) Ltd  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-26,Gloves,Gloves: Examination (Latex),"""Gloves - Surgical & Examination - Natural Rubber Latex""",Pack of 100,320.00,110,35200.00,lnqikithi Trading Enterprise  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-24,Sanitizers,Sanitizer,Sanitisers,5L,630.00,909,572670.00,Ngezolusha Suppliers and Trading t/a Nduru Services
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-20,Sanitizers,Sanitizer,Sanitisers,5L,724.50,980,710010.00,Umnyeovou Trading  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-20,Sanitizers,Sanitizer,Sanitisers,5L,750.00,600,450000.00,Info Tech Evolution  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-27,Sanitizers,Sanitizer,Sanitisers,100ml,39.00,12000,468000.00,Ngome Steam Pot {Ply) Ltd 
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-27,Sanitizers,Sanitizer,Sanitisers,100ml,40.00,12000,480000.00,Velakabusha General Trading 
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-27,Sanitizers,Sanitizer,Sanitisers,100ml,39.50,12000,474000.00,Bhomela General Trading Enterprise 
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-27,Sanitizers,Sanitizer,Sanitisers,100ml,40.00,12000,480000.00,Ntethe Trading (Pty) Ltd  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-20,Sanitizers,Sanitizer,Sanitisers,5L Each,607.50,100,60750.00,Umnyeovou Trading  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-20,Sanitizers,Sanitizer,Sanitisers,5L Each,805.00,100,80500.00,Mabugana Group t/a Aqua Amazing  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-20,Sanitizers,Sanitizer,Sanitisers,5L Each,517.50,50,25875.00,Zama Trading (Pty) Ltd  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-20,Sanitizers,Sanitizer,Sanitisers,5L Each,517.50,50,25875.00,Zama Trading (Pty) Ltd  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-20,Sanitizers,Sanitizer,Sanitisers,5L Each,650.00,50,32500.00,Beyond Hospitality Solutions  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-19,Sanitizers,Sanitizer,Sanitisers,5L Each,780.00,100,78000.00,Youth Development 12 (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-04-01,Sanitizers,Sanitizer,Sanitisers,5L Each,800.00,200,120000.00,Siphiwenonkosi Trading  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-04-01,Sanitizers,Sanitizer,Sanitisers,SL,890.00,10,8900.00,Ntethe Trading (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-26,Sanitizers,Sanitizer,Sanitisers,SL,1100.00,10,11000.00,Mpumelelo Dlaba (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-26,Sanitizers,Sanitizer,Sanitisers,SL,1035.00,1000,1035000.00,lbusaphi Trading (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-26,Sanitizers,Sanitizer,Sanitisers,SL,950.00,22,20900.00,lnqikithi Trading Enterprise
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-26,Sanitizers,Sanitizer,Sanitizer with Dispenser,500 ml,115.00,500,57500.00,lbusaphi Trading (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-26,Sanitizers,Sanitizer,Sanitisers (H/O),N/A,3000.00,1,3000.00,N/A
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-24,Sanitizers,Wipes - Toilet Seat,other: Flushable Toilet seat wipes,Pack of SO,78.40,300,23520.00,Ngezolusha Suppliers and Trading t/a Nduru Services
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-20,Sanitizers,Wipes - Toilet Seat,Other. Flushable Toilet seat wipes,Pack of 100,90.16,4900,441784.00,Umnyeovou Trading
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-20,Sanitizers,Wipes - Toilet Seat,other: Flushable Toilet seat wipes,Pack of SO,75.00,6000,450000.00,Info Tech Evolution
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-19,Sanitizers,Wipes - Toilet Seat,Other. Flushable Toilet seat wipes,Boxof100,110.00,1000,110000.00,Youth Development 12 (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-19,Sanitizers,Wipes - Toilet Seat,Other. Flushable Toilet seat wipes,Boxof100,110.00,1000,110000.00,Umnyeovou Trading
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-20,Sanitizers,Wipes - Toilet Seat,Other. Flushable Toilet seat wipes,Boxof100,149.50,1000,149500.00,Mabugana Group t/a Aqua Amazing  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-25,Sanitizers,Wipes - Toilet Seat,Other. Flushable Toilet seat wipes,Boxof100,200.00,1000,200000.00,King K Trading
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-04-01,Sanitizers,Wipes- Toilet Seat,Other. Flushable Toilet seat wipes,Boxof80,70.00,1000,70000.00,Siphiwenonkosi Trading
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-04-01,Sanitizers,Wipes - Toilet Seat,Other. Flushable Toilet seat wipes,Pack,40.00,100,4000.00,Ntethe Trading (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-26,Sanitizers,Wipes - Toilet Seat,Other. Flushable Toilet seat wipes,Pack of SO,115.00,7650,879750.00,lbusaphi Trading (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-27,Sanitizers,Wet Wipes - Hand,other. Pocket wet wipes,Pack,29.00,12000,348000.00,Ngome Steam Pot (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-27,Sanitizers,Wet Wipes - Hand,Other. Pocket wet wipes,pack of72,55.00,12000,660000.00,Velakabusha General Trading
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-27,Sanitizers,Wet Wipes - Hand,other. Pocket wet wipes,Pack,29.10,12000,349200.00,Bhomela General Trading Enterprise
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-27,Sanitizers,Wet Wipes - Hand,Other. Pocket wet wipes,Pack,30.00,12000,360000.00,Ntethe Trading (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-24,Dispensers,Pump,other. Plastic Hand Pump,1L,87.25,600,52350.00,Ngezolusha Suppliers and Trading t/a Nduru Services
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-20,Dispensers,Pump,Other. Plastic Hand Pump,1L,93.15,490,45643.50,Umnyeovou Trading
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-20,Dispensers,Pump,other: Plastic Hand Pump,1L,85.00,300,25500.00,Info Tech Evolution
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-20,Dispensers,Pump,Other. Plastic Hand Pump,1 Leach,159.00,100,15900.00,Umnyeovou Trading
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-20,Dispensers,Pump,other: Plastic Hand Pump,1 Leach,103.50,100,10350.00,Mabugana Group t/a Aqua Amazing  
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-20,Dispensers,Pump,Other. Plastic Hand Pump,1 Leach,32.20,68,2189.60,Zama Trading (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-20,Dispensers,Pump,other: Plastic Hand Pump,1 Leach,32.20,166,5345.20,Zama Trading (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-20,Dispensers,Pump,Other. Plastic Hand Pump,1 Leach,75.00,100,7500.00,Beyond Hospitality Solutions
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-19,Dispensers,Pump,Other: Plastic Hand Pump,1 Leach,75.00,100,7500.00,Youth Development 12 (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-04-01,Dispensers,Pump,Other. Plastic Hand Pump,1 Leach,100.00,500,50000.00,Siphiwenonkosi Trading
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-04-01,Dispensers,Pump,Other. Plastic Hand Pump,1L,100.00,18,1800.00,Ntethe Trading (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-26,Dispensers,Pump,Other. Plastic Hand Pump,1L,95.00,15,1425.00,Mpumelelo Dlaba (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-26,Dispensers,Pump,Other. Plastic Hand Pump,1L,100.00,35,3500.00,lnqikithi Trading Enterprise
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-27,PPE,Face towels,other. Face Towels,Single,58.00,12000,696000.00,Ngome Steam Pot (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-27,PPE,Face towels,Other. Face Towels,Single,57.00,12000,684000.00,Velakabusha General Trading
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-27,PPE,Face towels,other. Face Towels,Single,58.00,12000,696000.00,Bhomela General Trading Enterprise
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-27,PPE,Face towels,Other. Face Towels,Single,60.00,12000,720000.00,Ntethe Trading (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-27,Sanitizers,other: Soap,other. Soap,Single,19.00,12000,228000.00,Ngome Steam Pot (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-27,Sanitizers,Other: Soap,Other. Soap,Single,19.00,12000,228000.00,Velakabusha General Trading
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-27,Sanitizers,Other: Soap,other: Soap,Single,20.00,12000,240000.00,Bhomela General Trading Enterprise
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-27,Sanitizers,Other: Soap,Other. Soap,Single,20.00,12000,240000.00,Ntethe Trading (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-27,Blankets,Blankets,other: Blankets,Single,500.00,12000,6000000.00,LNA Communications
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-27,Blankets,Blankets,other. Blankets,Single,408.25,12000,4899000.00,Rosetta Investments
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-27,Blankets,Blankets,Other. Blankets,Single,402.50,12000,4830000.00,Zain Brothers cc
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-27,Blankets,Blankets,other: Blankets,Single,559.00,12000,6708000.00,Gibela Investments
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-27,Dispensers,Sanitizer Refill Funnel,Other. Funnel,Single,35.00,5,175.00,Mpumelelo Dlaba (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-03-26,Dispensers,Sanitizer Refill Funnel,Other: Funnel,Single,23.00,400,9200.00,lbusaphi Trading (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-04-07,Cleaning,Cleaning Services,Cleaning Services,Meals,27360.00,1,27360.00,Matata Agricultural Co-operative Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-04-07,Catering,Homeless Shelter,Catering for homeless sheltered by the Department,Meals,274744.80,1,274744.80,SRB Suppliers
